# Copyright 2019 Maxence Thevenet
#
# This file is part of WarpX.
#
# License: BSD-3-Clause-LBNL

# Reference:
# Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2014).
# NIST Atomic Spectra Database (ver. 5.2), [Online].
# Available: http://physics.nist.gov/asd [2017, March 3].

# License (from https://www.nist.gov/director/licensing):
# This data was developed by employees of the National Institute of Standards
# and Technology (NIST), an agency of the Federal Government. Pursuant to title
# 17 United States Code Section 105, works of NIST employees are not subject to
# copyright protection in the United States and are considered to be in the
# public domain.
# The data is provided by NIST as a public service and is expressly provided
# "AS IS." NIST MAKES NO WARRANTY OF ANY KIND, EXPRESS, IMPLIED OR STATUTORY,
# INCLUDING, WITHOUT LIMITATION, THE IMPLIED WARRANTY OF MERCHANTABILITY,
# FITNESS FOR A PARTICULAR PURPOSE, NON-INFRINGEMENT AND DATA ACCURACY. NIST
# does not warrant or make any representations regarding the use of the data or
# the results thereof, including but not limited to the correctness, accuracy,
# reliability or usefulness of the data. NIST SHALL NOT BE LIABLE AND YOU
# HEREBY RELEASE NIST FROM LIABILITY FOR ANY INDIRECT, CONSEQUENTIAL, SPECIAL,
# OR INCIDENTAL DAMAGES (INCLUDING DAMAGES FOR LOSS OF BUSINESS PROFITS,
# BUSINESS INTERRUPTION, LOSS OF BUSINESS INFORMATION, AND THE LIKE), WHETHER
# ARISING IN TORT, CONTRACT, OR OTHERWISE, ARISING FROM OR RELATING TO THE DATA
# (OR THE USE OF OR INABILITY TO USE THIS DATA), EVEN IF NIST HAS BEEN ADVISED
# OF THE POSSIBILITY OF SUCH DAMAGES.
# To the extent that NIST may hold copyright in countries other than the United
# States, you are hereby granted the non-exclusive irrevocable and unconditional
# right to print, publish, prepare derivative works and distribute the NIST
# data, in any medium, or authorize others to do so on your behalf, on a
# royalty-free basis throughout the world.
# You may improve, modify, and create derivative works of the data or any
# portion of the data, and you may copy and distribute such modifications or
# works. Modified works should carry a notice stating that you changed the data
# and should note the date and nature of any such change. Please explicitly
# acknowledge the National Institute of Standards and Technology as the source
# of the data: Data citation recommendations are provided below.
# Permission to use this data is contingent upon your acceptance of the terms
# of this agreement and upon your providing appropriate acknowledgments of
# NIST's creation of the data.

-----------------------------------------------------------------------------
At. num | Sp. Name      | Ion Charge |        Ionization Energy (eV)        |
     18 | Ar IV         |         +3 |          [59.58]                     |
     18 | Ar V          |         +4 |          [74.84]                     |
     18 | Ar VI         |         +5 |           91.290                     |
     18 | Ar VII        |         +6 |         [124.41]                     |
     18 | Ar VIII       |         +7 |         [143.4567]                   |
     18 | Ar IX         |         +8 |         [422.60]                     |
     18 | Ar X          |         +9 |         [479.76]                     |
     18 | Ar XI         |        +10 |         [540.4]                      |
     18 | Ar XII        |        +11 |         [619.0]                      |
     18 | Ar XIII       |        +12 |         [685.5]                      |
     18 | Ar XIV        |        +13 |         [755.13]                     |
     18 | Ar XV         |        +14 |         [855.5]                      |
     18 | Ar XVI        |        +15 |         (918.375)                    |
     18 | Ar XVII       |        +16 |        (4120.6656)                   |
     18 | Ar XVIII      |        +17 |        (4426.2228)                   |
     19 | K I           |          0 |            4.34066373                |
     19 | K II          |         +1 |           31.62500                   |
     19 | K III         |         +2 |          [45.8031]                   |
     19 | K IV          |         +3 |          [60.917]                    |
     19 | K V           |         +4 |          [82.66]                     |
     19 | K VI          |         +5 |          [99.44]                     |
     19 | K VII         |         +6 |          117.56                      |
     19 | K VIII        |         +7 |         [154.87]                     |
     19 | K IX          |         +8 |         [175.8174]                   |
     19 | K X           |         +9 |         [503.67]                     |
     19 | K XI          |        +10 |         [565.6]                      |
     19 | K XII         |        +11 |         [631.1]                      |
     19 | K XIII        |        +12 |         [714.7]                      |
     19 | K XIV         |        +13 |         [786.3]                      |
     19 | K XV          |        +14 |         [860.92]                     |
     19 | K XVI         |        +15 |         [967.7]                      |
     19 | K XVII        |        +16 |        (1034.542)                    |
     19 | K XVIII       |        +17 |        (4610.87018)                  |
     19 | K XIX         |        +18 |        (4934.04979)                  |
     20 | Ca I          |          0 |            6.11315547                |
     20 | Ca II         |         +1 |           11.871719                  |
     20 | Ca III        |         +2 |           50.91316                   |
     20 | Ca IV         |         +3 |          [67.2732]                   |
     20 | Ca V          |         +4 |          [84.34]                     |
     20 | Ca VI         |         +5 |         [108.78]                     |
     20 | Ca VII        |         +6 |         [127.21]                     |
     20 | Ca VIII       |         +7 |          147.24                      |
     20 | Ca IX         |         +8 |         [188.54]                     |
     20 | Ca X          |         +9 |         [211.275]                    |
     20 | Ca XI         |        +10 |         [591.60]                     |
     20 | Ca XII        |        +11 |         [658.2]                      |
     20 | Ca XIII       |        +12 |         [728.6]                      |
     20 | Ca XIV        |        +13 |         [817.2]                      |
     20 | Ca XV         |        +14 |         [894.0]                      |
     20 | Ca XVI        |        +15 |         [973.7]                      |
     20 | Ca XVII       |        +16 |        [1086.8]                      |
     20 | Ca XVIII      |        +17 |        (1157.726)                    |
     20 | Ca XIX        |        +18 |        (5128.8578)                   |
     20 | Ca XX         |        +19 |        (5469.86358)                  |
     21 | Sc I          |          0 |              6.56149                 |
     21 | Sc II         |         +1 |             12.79977                 |
     21 | Sc III        |         +2 |             24.756839                |
     21 | Sc IV         |         +3 |             73.4894                  |
     21 | Sc V          |         +4 |            [91.95]                   |
     21 | Sc VI         |         +5 |           [110.68]                   |
     21 | Sc VII        |         +6 |           [137.99]                   |
     21 | Sc VIII       |         +7 |           [158.08]                   |
     21 | Sc IX         |         +8 |            180.03                    |
     21 | Sc X          |         +9 |           [225.18]                   |
     21 | Sc XI         |        +10 |           [249.798]                  |
     21 | Sc XII        |        +11 |            687.36                    |
     21 | Sc XIII       |        +12 |           [757.7]                    |
     21 | Sc XIV        |        +13 |           [833.2]                    |
     21 | Sc XV         |        +14 |           [926.5]                    |
     21 | Sc XVI        |        +15 |          [1008.6]                    |
     21 | Sc XVII       |        +16 |          [1093.5]                    |
     21 | Sc XVIII      |        +17 |          [1213.1]                    |
     21 | Sc XIX        |        +18 |          (1287.957)                  |
     21 | Sc XX         |        +19 |          (5674.9037)                 |
     21 | Sc XXI        |        +20 |          (6033.75643)                |
     22 | Ti I          |          0 |            6.828120                  |
     22 | Ti II         |         +1 |           13.5755                    |
     22 | Ti III        |         +2 |           27.49171                   |
     22 | Ti IV         |         +3 |           43.26717                   |
     22 | Ti V          |         +4 |           99.299                     |
     22 | Ti VI         |         +5 |         [119.533]                    |
     22 | Ti VII        |         +6 |         [140.68]                     |
     22 | Ti VIII       |         +7 |         [170.5]                      |
     22 | Ti IX         |         +8 |         [192.1]                      |
     22 | Ti X          |         +9 |          215.92                      |
     22 | Ti XI         |        +10 |         [265.07]                     |
     22 | Ti XII        |        +11 |         [291.500]                    |
     22 | Ti XIII       |        +12 |          787.67                      |
     22 | Ti XIV        |        +13 |         [864.0]                      |
     22 | Ti XV         |        +14 |         [944.5]                      |
     22 | Ti XVI        |        +15 |        [1042.5]                      |
     22 | Ti XVII       |        +16 |        [1130.2]                      |
     22 | Ti XVIII      |        +17 |        [1220.3]                      |
     22 | Ti XIX        |        +18 |        [1346.3]                      |
     22 | Ti XX         |        +19 |        (1425.257)                    |
     22 | Ti XXI        |        +20 |        (6249.0226)                   |
     22 | Ti XXII       |        +21 |        (6625.81023)                  |
     23 | V I           |          0 |             6.746187                 |
     23 | V II          |         +1 |            14.634                    |
     23 | V III         |         +2 |            29.3111                   |
     23 | V IV          |         +3 |            46.709                    |
     23 | V V           |         +4 |            65.28165                  |
     23 | V VI          |         +5 |           128.125                    |
     23 | V VII         |         +6 |          [150.72]                    |
     23 | V VIII        |         +7 |          [173.55]                    |
     23 | V IX          |         +8 |          [206.0]                     |
     23 | V X           |         +9 |          [230.5]                     |
     23 | V XI          |        +10 |          [254.8]                     |
     23 | V XII         |        +11 |          [308.5]                     |
     23 | V XIII        |        +12 |          [336.274]                   |
     23 | V XIV         |        +13 |           896.0                      |
     23 | V XV          |        +14 |          [977.2]                     |
     23 | V XVI         |        +15 |         [1062.9]                     |
     23 | V XVII        |        +16 |         [1165.2]                     |
     23 | V XVIII       |        +17 |         [1258.9]                     |
     23 | V XIX         |        +18 |         [1354.2]                     |
     23 | V XX          |        +19 |         [1486.7]                     |
     23 | V XXI         |        +20 |         (1569.656)                   |
     23 | V XXII        |        +21 |         (6851.3109)                  |
     23 | V XXIII       |        +22 |         (7246.12624)                 |
     24 | Cr I          |          0 |             6.76651                  |
     24 | Cr II         |         +1 |            16.486305                 |
     24 | Cr III        |         +2 |            30.959                    |
     24 | Cr IV         |         +3 |           [49.16]                    |
     24 | Cr V          |         +4 |           [69.46]                    |
     24 | Cr VI         |         +5 |            90.6349                   |
     24 | Cr VII        |         +6 |          [160.29]                    |
     24 | Cr VIII       |         +7 |          [184.76]                    |
     24 | Cr IX         |         +8 |          [209.5]                     |
     24 | Cr X          |         +9 |          [244.5]                     |
     24 | Cr XI         |        +10 |          [270.8]                     |
     24 | Cr XII        |        +11 |          [296.7]                     |
     24 | Cr XIII       |        +12 |          [354.7]                     |
     24 | Cr XIV        |        +13 |          [384.163]                   |
     24 | Cr XV         |        +14 |         [1011.6]                     |
     24 | Cr XVI        |        +15 |         [1097.2]                     |
     24 | Cr XVII       |        +16 |         [1188.0]                     |
     24 | Cr XVIII      |        +17 |         [1294.8]                     |
     24 | Cr XIX        |        +18 |         [1394.5]                     |
     24 | Cr XX         |        +19 |         [1495.1]                     |
     24 | Cr XXI        |        +20 |         [1634.1]                     |
     24 | Cr XXII       |        +21 |         (1721.183)                   |
     24 | Cr XXIII      |        +22 |         (7481.8628)                  |
     24 | Cr XXIV       |        +23 |         (7894.80289)                 |
     25 | Mn I          |          0 |             7.4340380                |
     25 | Mn II         |         +1 |            15.63999                  |
     25 | Mn III        |         +2 |            33.668                    |
     25 | Mn IV         |         +3 |           [51.21]                    |
     25 | Mn V          |         +4 |           [72.41]                    |
     25 | Mn VI         |         +5 |            95.604                    |
     25 | Mn VII        |         +6 |           119.203                    |
     25 | Mn VIII       |         +7 |          [195.5]                     |
     25 | Mn IX         |         +8 |          [221.89]                    |
     25 | Mn X          |         +9 |          [248.6]                     |
     25 | Mn XI         |        +10 |          [286.1]                     |
     25 | Mn XII        |        +11 |          [314.4]                     |
     25 | Mn XIII       |        +12 |          [343.6]                     |
     25 | Mn XIV        |        +13 |          [402.95]                    |
     25 | Mn XV         |        +14 |          [435.172]                   |
     25 | Mn XVI        |        +15 |         [1133.7]                     |
     25 | Mn XVII       |        +16 |         [1224.1]                     |
     25 | Mn XVIII      |        +17 |         [1320.3]                     |
     25 | Mn XIX        |        +18 |         [1430.9]                     |
     25 | Mn XX         |        +19 |         [1537.2]                     |
     25 | Mn XXI        |        +20 |         [1643.2]                     |
     25 | Mn XXII       |        +21 |         [1788.7]                     |
     25 | Mn XXIII      |        +22 |         (1879.873)                   |
     25 | Mn XXIV       |        +23 |         (8140.7872)                  |
     25 | Mn XXV        |        +24 |         (8571.95438)                 |
     26 | Fe I          |          0 |             7.9024681                |
     26 | Fe II         |         +1 |            16.19921                  |
     26 | Fe III        |         +2 |            30.651                    |
     26 | Fe IV         |         +3 |            54.91                     |
     26 | Fe V          |         +4 |           [75.00]                    |
     26 | Fe VI         |         +5 |            98.985                    |
     26 | Fe VII        |         +6 |           124.9671                   |
     26 | Fe VIII       |         +7 |           151.060                    |
     26 | Fe IX         |         +8 |          [233.6]                     |
     26 | Fe X          |         +9 |          [262.10]                    |
     26 | Fe XI         |        +10 |          [290.9]                     |
     26 | Fe XII        |        +11 |          [330.8]                     |
     26 | Fe XIII       |        +12 |          [361.0]                     |
     26 | Fe XIV        |        +13 |          [392.2]                     |
     26 | Fe XV         |        +14 |           456.2                      |
     26 | Fe XVI        |        +15 |          [489.312]                   |
     26 | Fe XVII       |        +16 |         [1262.7]                     |
     26 | Fe XVIII      |        +17 |         [1357.8]                     |
     26 | Fe XIX        |        +18 |         [1460]                       |
     26 | Fe XX         |        +19 |          1575.6                      |
     26 | Fe XXI        |        +20 |         [1687.0]                     |
     26 | Fe XXII       |        +21 |         [1798.4]                     |
     26 | Fe XXIII      |        +22 |         [1950.4]                     |
     26 | Fe XXIV       |        +23 |         (2045.759)                   |
     26 | Fe XXV        |        +24 |         (8828.1879)                  |
     26 | Fe XXVI       |        +25 |         (9277.6886)                  |
     27 | Co I          |          0 |             7.88101                  |
     27 | Co II         |         +1 |            17.0844                   |
     27 | Co III        |         +2 |           [33.50]                    |
     27 | Co IV         |         +3 |           [51.27]                    |
     27 | Co V          |         +4 |           [79.50]                    |
     27 | Co VI         |         +5 |          [102.00]                    |
     27 | Co VII        |         +6 |          [128.9]                     |
     27 | Co VIII       |         +7 |          [157.8]                     |
     27 | Co IX         |         +8 |           186.14                     |
     27 | Co X          |         +9 |          [275.4]                     |
     27 | Co XI         |        +10 |          [305.32]                    |
     27 | Co XII        |        +11 |          [336.1]                     |
     27 | Co XIII       |        +12 |          [378.5]                     |
     27 | Co XIV        |        +13 |          [410.0]                     |
     27 | Co XV         |        +14 |          [441.1]                     |
     27 | Co XVI        |        +15 |          [511.96]                    |
     27 | Co XVII       |        +16 |          [546.588]                   |
     27 | Co XVIII      |        +17 |          1397.2                      |
     27 | Co XIX        |        +18 |          1504.5                      |
     27 | Co XX         |        +19 |         [1606]                       |
     27 | Co XXI        |        +20 |         [1724]                       |
     27 | Co XXII       |        +21 |         [1844.0]                     |
     27 | Co XXIII      |        +22 |         [1960.8]                     |
     27 | Co XXIV       |        +23 |         [2119.4]                     |
     27 | Co XXV        |        +24 |         (2218.876)                   |
     27 | Co XXVI       |        +25 |         (9544.1833)                  |
     27 | Co XXVII      |        +26 |        (10012.1297)                  |
     28 | Ni I          |          0 |             7.639878                 |
     28 | Ni II         |         +1 |            18.168838                 |
     28 | Ni III        |         +2 |            35.187                    |
     28 | Ni IV         |         +3 |           [54.92]                    |
     28 | Ni V          |         +4 |           [76.06]                    |
     28 | Ni VI         |         +5 |          [108.0]                     |
     28 | Ni VII        |         +6 |          (132.0)                     |
     28 | Ni VIII       |         +7 |          (162.0)                     |
     28 | Ni IX         |         +8 |          [193.2]                     |
     28 | Ni X          |         +9 |          [224.7]                     |
     28 | Ni XI         |        +10 |          [319.5]                     |
     28 | Ni XII        |        +11 |          [351.6]                     |
     28 | Ni XIII       |        +12 |          [384.5]                     |
     28 | Ni XIV        |        +13 |          [429.3]                     |
     28 | Ni XV         |        +14 |          [462.8]                     |
     28 | Ni XVI        |        +15 |          [495.4]                     |
     28 | Ni XVII       |        +16 |          [571.07]                    |
     28 | Ni XVIII      |        +17 |          [607.020]                   |
     28 | Ni XIX        |        +18 |          1540.1                      |
     28 | Ni XX         |        +19 |         [1646]                       |
     28 | Ni XXI        |        +20 |         [1758]                       |
     28 | Ni XXII       |        +21 |         [1880]                       |
     28 | Ni XXIII      |        +22 |         [2008.1]                     |
     28 | Ni XXIV       |        +23 |         [2130.5]                     |
     28 | Ni XXV        |        +24 |         [2295.6]                     |
     28 | Ni XXVI       |        +25 |         (2399.259)                   |
     28 | Ni XXVII      |        +26 |        (10288.8862)                  |
     28 | Ni XXVIII     |        +27 |        (10775.3948)                  |
     29 | Cu I          |          0 |              7.726380                |
     29 | Cu II         |         +1 |             20.29239                 |
     29 | Cu III        |         +2 |             36.841                   |
     29 | Cu IV         |         +3 |            [57.38]                   |
     29 | Cu V          |         +4 |            [79.8]                    |
     29 | Cu VI         |         +5 |           [103.0]                    |
     29 | Cu VII        |         +6 |           [139.0]                    |
     29 | Cu VIII       |         +7 |           (166.0)                    |
     29 | Cu IX         |         +8 |           (198.0)                    |
     29 | Cu X          |         +9 |           [232.2]                    |
     29 | Cu XI         |        +10 |            265.33                    |
     29 | Cu XII        |        +11 |           [367.0]                    |
     29 | Cu XIII       |        +12 |           [401.0]                    |
     29 | Cu XIV        |        +13 |           [436.0]                    |
     29 | Cu XV         |        +14 |           [483.1]                    |
     29 | Cu XVI        |        +15 |           [518.7]                    |
     29 | Cu XVII       |        +16 |           [552.8]                    |
     29 | Cu XVIII      |        +17 |           [632.5]                    |
     29 | Cu XIX        |        +18 |           [670.608]                  |
     29 | Cu XX         |        +19 |          [1690.5]                    |
     29 | Cu XXI        |        +20 |          [1800]                      |
     29 | Cu XXII       |        +21 |          [1918]                      |
     29 | Cu XXIII      |        +22 |          [2044]                      |
     29 | Cu XXIV       |        +23 |          [2179.4]                    |
     29 | Cu XXV        |        +24 |          [2307.3]                    |
     29 | Cu XXVI       |        +25 |          [2479.1]                    |
     29 | Cu XXVII      |        +26 |          (2586.954)                  |
     29 | Cu XXVIII     |        +27 |         (11062.4313)                 |
     29 | Cu XXIX       |        +28 |         (11567.613)                  |
     30 | Zn I          |          0 |             9.394197                 |
     30 | Zn II         |         +1 |            17.96439                  |
     30 | Zn III        |         +2 |            39.72330                  |
     30 | Zn IV         |         +3 |            59.573                    |
     30 | Zn V          |         +4 |           [82.6]                     |
     30 | Zn VI         |         +5 |          [108.0]                     |
     30 | Zn VII        |         +6 |          [133.9]                     |
     30 | Zn VIII       |         +7 |          [173.9]                     |
     30 | Zn IX         |         +8 |          [203.0]                     |
     30 | Zn X          |         +9 |          (238.0)                     |
     30 | Zn XI         |        +10 |          [274.4]                     |
     30 | Zn XII        |        +11 |          [310.8]                     |
     30 | Zn XIII       |        +12 |          [417.6]                     |
     30 | Zn XIV        |        +13 |          [453.4]                     |
     30 | Zn XV         |        +14 |          [490.6]                     |
     30 | Zn XVI        |        +15 |          [540.0]                     |
     30 | Zn XVII       |        +16 |          [577.8]                     |
     30 | Zn XVIII      |        +17 |          [613.3]                     |
     30 | Zn XIX        |        +18 |          [697.5]                     |
     30 | Zn XX         |        +19 |          [737.366]                   |
     30 | Zn XXI        |        +20 |         [1846.8]                     |
     30 | Zn XXII       |        +21 |         [1961]                       |
     30 | Zn XXIII      |        +22 |         [2085]                       |
